pattern,support,gain
doordie_success_Haryana_Steelers_vs_U.P._Yoddha_none_early_single||bonus_success_Haryana_Steelers_vs_U.P._Yoddha_null_early_zero,3,2.0
bonus_success_Haryana_Steelers_vs_U.P._Yoddha_null_early_zero||doordie_success_Haryana_Steelers_vs_U.P._Yoddha_none_early_single,3,2.0
doordie_success_Haryana_Steelers_vs_U.P._Yoddha_none_early_single||doordie_success_Haryana_Steelers_vs_U.P._Yoddha_none_early_single,2,1.0
doordie_success_Haryana_Steelers_vs_U.P._Yoddha_none_early_single||bonus_success_Haryana_Steelers_vs_U.P._Yoddha_null_early_zero||bonus_success_Haryana_Steelers_vs_U.P._Yoddha_null_early_zero,1,1.0
bonus_success_Haryana_Steelers_vs_U.P._Yoddha_null_early_zero||bonus_success_Haryana_Steelers_vs_U.P._Yoddha_null_early_zero,1,0.0
bonus_success_Haryana_Steelers_vs_U.P._Yoddha_null_early_zero||bonus_success_Haryana_Steelers_vs_U.P._Yoddha_left_corner_early_zero,1,0.0
bonus_success_Haryana_Steelers_vs_U.P._Yoddha_left_corner_early_zero||bonus_success_Haryana_Steelers_vs_U.P._Yoddha_null_early_zero,1,0.0
doordie_success_Haryana_Steelers_vs_U.P._Yoddha_none_early_single,6,-1.0
bonus_success_Haryana_Steelers_vs_U.P._Yoddha_null_early_zero,5,-1.0
bonus_success_Haryana_Steelers_vs_U.P._Yoddha_left_corner_early_zero,1,-1.0
