pattern,support,gain
empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero,14,13.0
empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero,7,13.0
empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero,3,8.0
empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero||bonus_success_Dabang_Delhi_vs_Bengaluru_Bulls_unknown_early_zero,4,3.0
bonus_success_Dabang_Delhi_vs_Bengaluru_Bulls_unknown_early_zero||empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero,3,2.0
empty_unknown_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_zero,27,-1.0
bonus_success_Dabang_Delhi_vs_Bengaluru_Bulls_unknown_early_zero,5,-1.0
regular_success_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_single,3,-1.0
doordie_success_Dabang_Delhi_vs_Bengaluru_Bulls_none_early_single,2,-1.0
bonus_success_Dabang_Delhi_vs_Bengaluru_Bulls_defender_early_zero,2,-1.0
