pattern,support,gain
empty_unknown_Dabang_Delhi_vs_Haryana_Steelers_none_early_zero||regular_success_Dabang_Delhi_vs_Haryana_Steelers_none_early_single||empty_unknown_Dabang_Delhi_vs_Haryana_Steelers_none_early_zero,4,7.0
regular_success_Dabang_Delhi_vs_Haryana_Steelers_none_early_single||empty_unknown_Dabang_Delhi_vs_Haryana_Steelers_none_early_zero,5,4.0
empty_unknown_Dabang_Delhi_vs_Haryana_Steelers_none_early_zero||regular_success_Dabang_Delhi_vs_Haryana_Steelers_none_early_single,4,3.0
doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single,3,2.0
doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single||doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single,3,2.0
empty_unknown_Dabang_Delhi_vs_Haryana_Steelers_none_early_zero,9,-1.0
doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single,8,-1.0
doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero,7,-1.0
regular_success_Dabang_Delhi_vs_Haryana_Steelers_none_early_single,6,-1.0
bonus_success_Bengaluru_Bulls_vs_Haryana_Steelers_null_early_zero,3,-1.0
