pattern,support,gain
doordie_success_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_single||doordie_success_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_single||doordie_success_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_single,5,9.0
doordie_unknown_Telugu_Titans_vs_Bengal_Warriors_none_early_zero||doordie_success_Telugu_Titans_vs_Bengal_Warriors_none_early_single||doordie_unknown_Telugu_Titans_vs_Bengal_Warriors_none_early_zero,4,7.0
doordie_success_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_single||doordie_success_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_single,6,5.0
doordie_unknown_Telugu_Titans_vs_Bengal_Warriors_none_early_zero||doordie_success_Telugu_Titans_vs_Bengal_Warriors_none_early_single,5,4.0
doordie_success_Telugu_Titans_vs_Bengal_Warriors_none_early_single||doordie_unknown_Telugu_Titans_vs_Bengal_Warriors_none_early_zero,4,3.0
doordie_unknown_Telugu_Titans_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Telugu_Titans_vs_Bengal_Warriors_none_early_zero,4,3.0
doordie_unknown_Telugu_Titans_vs_Bengal_Warriors_none_early_zero,12,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_single,10,-1.0
doordie_success_Telugu_Titans_vs_Bengal_Warriors_none_early_single,8,-1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero,4,-1.0
