pattern,support,gain
doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single||doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,2,5.0
doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single||doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,2,5.0
doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,4,3.0
doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,2,3.0
doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single||doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,2,3.0
doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single||doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,2,3.0
doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,2,1.0
doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single||doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,2,1.0
doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,8,-1.0
doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,3,-1.0
