pattern,support,gain
empty_unknown_Puneri_Paltan_vs_Gujarat_Giants_none_early_zero||empty_unknown_Puneri_Paltan_vs_Gujarat_Giants_none_early_zero,8,7.0
regular_success_Puneri_Paltan_vs_Gujarat_Giants_none_early_single||empty_unknown_Puneri_Paltan_vs_Gujarat_Giants_none_early_zero,7,6.0
empty_unknown_Puneri_Paltan_vs_Gujarat_Giants_none_early_zero||regular_success_Puneri_Paltan_vs_Gujarat_Giants_none_early_single,7,6.0
doordie_success_Puneri_Paltan_vs_Gujarat_Giants_none_early_single||empty_unknown_Puneri_Paltan_vs_Gujarat_Giants_none_early_zero,6,5.0
empty_unknown_Puneri_Paltan_vs_Gujarat_Giants_none_early_zero||bonus_success_Puneri_Paltan_vs_Gujarat_Giants_unknown_early_zero,5,4.0
bonus_success_Puneri_Paltan_vs_Gujarat_Giants_unknown_early_zero||empty_unknown_Puneri_Paltan_vs_Gujarat_Giants_none_early_zero,5,4.0
empty_unknown_Puneri_Paltan_vs_Gujarat_Giants_none_early_zero,28,-1.0
bonus_success_Puneri_Paltan_vs_Gujarat_Giants_unknown_early_zero,11,-1.0
doordie_success_Puneri_Paltan_vs_Gujarat_Giants_none_early_single,11,-1.0
regular_success_Puneri_Paltan_vs_Gujarat_Giants_none_early_single,11,-1.0
