pattern,support,gain
empty_unknown_Puneri_Paltan_vs_Haryana_Steelers_none_early_zero||empty_unknown_Puneri_Paltan_vs_Haryana_Steelers_none_early_zero,9,8.0
empty_unknown_Puneri_Paltan_vs_Haryana_Steelers_none_early_zero||regular_success_Puneri_Paltan_vs_Haryana_Steelers_none_early_single,8,7.0
regular_success_Puneri_Paltan_vs_Haryana_Steelers_none_early_single||regular_success_Puneri_Paltan_vs_Haryana_Steelers_none_early_single,6,5.0
regular_success_Puneri_Paltan_vs_Haryana_Steelers_none_early_single||empty_unknown_Puneri_Paltan_vs_Haryana_Steelers_none_early_zero,4,3.0
empty_unknown_Puneri_Paltan_vs_Haryana_Steelers_none_early_zero,26,-1.0
regular_success_Puneri_Paltan_vs_Haryana_Steelers_none_early_single,22,-1.0
doordie_success_Puneri_Paltan_vs_Haryana_Steelers_none_early_single,10,-1.0
bonus_success_Puneri_Paltan_vs_Haryana_Steelers_unknown_early_zero,9,-1.0
bonus_success_Puneri_Paltan_vs_Haryana_Steelers_null_early_zero,6,-1.0
doordie_unknown_Puneri_Paltan_vs_Haryana_Steelers_none_early_zero,5,-1.0
