pattern,support,gain
regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single||empty_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,7,6.0
empty_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero||empty_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,7,6.0
regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single||regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,6,5.0
doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero||doordie_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,5,4.0
regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,19,-1.0
empty_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,19,-1.0
doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,10,-1.0
doordie_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,10,-1.0
bonus_success_Puneri_Paltan_vs_Telugu_Titans_unknown_early_zero,9,-1.0
bonus_success_Puneri_Paltan_vs_Telugu_Titans_null_early_zero,5,-1.0
