pattern,support,gain
regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_single||regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_single||regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_single,3,5.0
regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_single||regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_single||regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_single||regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_single,2,5.0
regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_single||regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_single,4,3.0
bonus_success_Patna_Pirates_vs_Bengal_Warriorz_unknown_early_zero||regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_single,3,2.0
regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_single||bonus_success_Patna_Pirates_vs_Bengal_Warriorz_unknown_early_zero,2,1.0
regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_single||regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_high,1,0.0
regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_single,7,-1.0
bonus_success_Patna_Pirates_vs_Bengal_Warriorz_unknown_early_zero,4,-1.0
regular_success_Patna_Pirates_vs_Bengal_Warriorz_none_early_high,2,-1.0
empty_unknown_Patna_Pirates_vs_Bengal_Warriorz_none_early_zero,2,-1.0
