pattern,support,gain
doordie_success_Patna_Pirates_vs_Tamil_Thalaivas_none_early_single||doordie_success_Patna_Pirates_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_Patna_Pirates_vs_Tamil_Thalaivas_none_early_zero,8,15.0
doordie_success_Patna_Pirates_vs_Tamil_Thalaivas_none_early_single||doordie_success_Patna_Pirates_vs_Tamil_Thalaivas_none_early_single,14,13.0
doordie_success_Patna_Pirates_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_Patna_Pirates_vs_Tamil_Thalaivas_none_early_zero,10,9.0
doordie_success_Patna_Pirates_vs_Tamil_Thalaivas_none_early_single,33,-1.0
doordie_unknown_Patna_Pirates_vs_Tamil_Thalaivas_none_early_zero,27,-1.0
bonus_success_Patna_Pirates_vs_Tamil_Thalaivas_all_rounder_early_zero,10,-1.0
doordie_success_Patna_Pirates_vs_Tamil_Thalaivas_none_early_high,8,-1.0
doordie_unknown_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_zero,8,-1.0
doordie_success_U.P._Yoddha_vs_Tamil_Thalaivas_none_early_single,8,-1.0
bonus_success_U.P._Yoddha_vs_Tamil_Thalaivas_null_early_zero,7,-1.0
