pattern,support,gain
doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single||doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single,7,6.0
doordie_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero||doordie_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero,6,5.0
bonus_success_Gujarat_Giants_vs_Telugu_Titans_null_early_zero||doordie_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero,5,4.0
doordie_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero||doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single,5,4.0
doordie_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero,17,-1.0
doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single,17,-1.0
empty_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero,12,-1.0
bonus_success_Gujarat_Giants_vs_Telugu_Titans_null_early_zero,8,-1.0
regular_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single,7,-1.0
doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_high,4,-1.0
