pattern,support,gain
doordie_success_Gujarat_Giants_vs_U_Mumba_none_early_single||doordie_success_Gujarat_Giants_vs_U_Mumba_none_early_single,4,3.0
bonus_success_Gujarat_Giants_vs_U_Mumba_unknown_early_zero||bonus_success_Gujarat_Giants_vs_U_Mumba_unknown_early_zero,4,3.0
regular_success_Gujarat_Giants_vs_U_Mumba_none_early_single||regular_success_Gujarat_Giants_vs_U_Mumba_none_early_single,4,3.0
bonus_success_Gujarat_Giants_vs_U_Mumba_unknown_early_zero,12,-1.0
doordie_success_Gujarat_Giants_vs_U_Mumba_none_early_single,11,-1.0
empty_unknown_Gujarat_Giants_vs_U_Mumba_none_early_zero,11,-1.0
regular_success_Gujarat_Giants_vs_U_Mumba_none_early_single,8,-1.0
bonus_success_Gujarat_Giants_vs_U_Mumba_null_early_zero,6,-1.0
doordie_unknown_Gujarat_Giants_vs_U_Mumba_none_early_zero,5,-1.0
doordie_success_Gujarat_Giants_vs_U_Mumba_none_early_high,4,-1.0
