pattern,support,gain
empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero||empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero,5,4.0
regular_success_nan_vs_Jaipur_Pink_Panthers_none_early_single||bonus_success_nan_vs_Jaipur_Pink_Panthers_unknown_early_zero||empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero,2,3.0
empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero||empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero||empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero,2,3.0
bonus_success_nan_vs_Jaipur_Pink_Panthers_unknown_early_zero||empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero,3,2.0
regular_success_nan_vs_Jaipur_Pink_Panthers_none_early_single||bonus_success_nan_vs_Jaipur_Pink_Panthers_unknown_early_zero,2,1.0
empty_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero,11,-1.0
regular_success_nan_vs_Jaipur_Pink_Panthers_none_early_single,6,-1.0
bonus_success_nan_vs_Jaipur_Pink_Panthers_unknown_early_zero,4,-1.0
bonus_success_nan_vs_Jaipur_Pink_Panthers_null_early_zero,2,-1.0
bonus_success_nan_vs_Jaipur_Pink_Panthers_none_early_zero,1,-1.0
