pattern,support,gain
doordie_success_Jaipur_Pink_Panthers_vs_U_Mumba_none_early_single||doordie_success_Jaipur_Pink_Panthers_vs_U_Mumba_none_early_single,4,3.0
doordie_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero||bonus_success_Puneri_Paltan_vs_U_Mumba_unknown_early_zero,2,1.0
doordie_success_Puneri_Paltan_vs_U_Mumba_none_early_single||doordie_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero,2,1.0
doordie_success_Jaipur_Pink_Panthers_vs_U_Mumba_none_early_single,9,-1.0
doordie_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero,6,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_U_Mumba_unknown_early_zero,4,-1.0
bonus_success_Puneri_Paltan_vs_U_Mumba_unknown_early_zero,3,-1.0
doordie_success_Puneri_Paltan_vs_U_Mumba_none_early_single,3,-1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_U_Mumba_none_early_zero,3,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_U_Mumba_defender_early_zero,2,-1.0
