pattern,support,gain
doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,7,13.0
doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,12,11.0
regular_success_Gujarat_Giants_vs_Patna_Pirates_none_early_single||regular_success_Gujarat_Giants_vs_Patna_Pirates_none_early_single,7,6.0
bonus_success_Gujarat_Giants_vs_Patna_Pirates_unknown_early_zero||regular_success_Gujarat_Giants_vs_Patna_Pirates_none_early_single,5,4.0
doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,21,-1.0
regular_success_Gujarat_Giants_vs_Patna_Pirates_none_early_single,18,-1.0
bonus_success_Bengaluru_Bulls_vs_Patna_Pirates_null_early_zero,11,-1.0
empty_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero,11,-1.0
bonus_success_Gujarat_Giants_vs_Patna_Pirates_unknown_early_zero,8,-1.0
doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero,6,-1.0
