pattern,support,gain
doordie_success_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_single||doordie_success_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_single,11,10.0
doordie_success_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_single||doordie_success_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_single||doordie_success_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_single,5,9.0
bonus_success_Bengaluru_Bulls_vs_Puneri_Paltan_right_cover_early_zero||doordie_success_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_single,6,5.0
regular_success_Gujarat_Giants_vs_Puneri_Paltan_none_early_single||regular_success_Gujarat_Giants_vs_Puneri_Paltan_none_early_single,6,5.0
doordie_success_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_single,28,-1.0
regular_success_Gujarat_Giants_vs_Puneri_Paltan_none_early_single,12,-1.0
bonus_success_Bengaluru_Bulls_vs_Puneri_Paltan_right_cover_early_zero,8,-1.0
bonus_success_Bengaluru_Bulls_vs_Puneri_Paltan_null_early_zero,8,-1.0
doordie_unknown_Bengaluru_Bulls_vs_Puneri_Paltan_none_early_zero,7,-1.0
bonus_success_Gujarat_Giants_vs_Puneri_Paltan_unknown_early_zero,5,-1.0
