pattern,support,gain
doordie_unknown_U.P._Yoddha_vs_Telugu_Titans_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Telugu_Titans_none_early_zero,7,6.0
doordie_unknown_U.P._Yoddha_vs_Telugu_Titans_none_early_zero||doordie_success_U.P._Yoddha_vs_Telugu_Titans_none_early_single,6,5.0
doordie_success_U.P._Yoddha_vs_Telugu_Titans_none_early_single||doordie_unknown_U.P._Yoddha_vs_Telugu_Titans_none_early_zero,6,5.0
doordie_success_Haryana_Steelers_vs_Telugu_Titans_none_early_single||doordie_success_Haryana_Steelers_vs_Telugu_Titans_none_early_single,3,2.0
doordie_success_U.P._Yoddha_vs_Telugu_Titans_none_early_single||doordie_success_U.P._Yoddha_vs_Telugu_Titans_none_early_single,3,2.0
doordie_unknown_U.P._Yoddha_vs_Telugu_Titans_none_early_zero,18,-1.0
doordie_success_U.P._Yoddha_vs_Telugu_Titans_none_early_single,11,-1.0
doordie_success_Haryana_Steelers_vs_Telugu_Titans_none_early_single,7,-1.0
doordie_unknown_Haryana_Steelers_vs_Telugu_Titans_none_early_zero,4,-1.0
doordie_success_Patna_Pirates_vs_Telugu_Titans_none_early_single,3,-1.0
