pattern,support,gain
doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,4,11.0
doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,5,9.0
doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,8,7.0
doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_single,4,3.0
doordie_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,4,3.0
doordie_success_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_single||doordie_success_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_single,3,2.0
doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,16,-1.0
doordie_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_single,9,-1.0
doordie_success_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_single,6,-1.0
bonus_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_right_corner_early_zero,4,-1.0
