pattern,support,gain
doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_single||doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_single,8,7.0
doordie_unknown_Telugu_Titans_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Telugu_Titans_vs_Tamil_Thalaivas_none_early_zero,6,5.0
bonus_success_Telugu_Titans_vs_Tamil_Thalaivas_all_rounder_early_zero||doordie_unknown_Telugu_Titans_vs_Tamil_Thalaivas_none_early_zero,5,4.0
doordie_unknown_Telugu_Titans_vs_Tamil_Thalaivas_none_early_zero||doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_single,5,4.0
doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_Telugu_Titans_vs_Tamil_Thalaivas_none_early_zero,4,3.0
doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_single,18,-1.0
doordie_unknown_Telugu_Titans_vs_Tamil_Thalaivas_none_early_zero,18,-1.0
bonus_success_Telugu_Titans_vs_Tamil_Thalaivas_all_rounder_early_zero,8,-1.0
doordie_unknown_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_zero,4,-1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Tamil_Thalaivas_none_early_zero,4,-1.0
