pattern,support,gain
doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,3,5.0
doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,2,5.0
doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,4,3.0
bonus_success_Puneri_Paltan_vs_Telugu_Titans_defender_early_zero||bonus_success_Puneri_Paltan_vs_Telugu_Titans_unknown_early_zero,1,0.0
bonus_success_Puneri_Paltan_vs_Telugu_Titans_unknown_early_zero||doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,1,0.0
doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,6,-1.0
doordie_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,2,-1.0
bonus_success_Puneri_Paltan_vs_Telugu_Titans_defender_early_zero,1,-1.0
bonus_success_Puneri_Paltan_vs_Telugu_Titans_unknown_early_zero,1,-1.0
bonus_success_Puneri_Paltan_vs_Telugu_Titans_null_early_zero,1,-1.0
