pattern,support,gain
doordie_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_single||doordie_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_single||doordie_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_single,4,7.0
doordie_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_single||doordie_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero||doordie_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_single,4,7.0
doordie_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_single||doordie_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_single,6,5.0
doordie_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_single||doordie_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero,6,5.0
doordie_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero||doordie_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_single,5,4.0
doordie_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero,5,4.0
doordie_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero,4,3.0
doordie_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_single,12,-1.0
doordie_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero,11,-1.0
doordie_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero,10,-1.0
