pattern,support,gain
doordie_unknown_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_zero||doordie_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_single||doordie_unknown_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_zero||doordie_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_single,3,8.0
doordie_unknown_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_zero||doordie_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_single||doordie_unknown_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_zero,4,7.0
doordie_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_single||doordie_unknown_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_zero,6,5.0
doordie_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_single||doordie_unknown_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_zero||doordie_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_single,3,5.0
doordie_unknown_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_zero||doordie_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_single,5,4.0
doordie_unknown_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_zero||doordie_unknown_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_zero,3,2.0
doordie_unknown_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_zero||bonus_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._unknown_early_zero,3,2.0
doordie_unknown_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_zero,11,-1.0
doordie_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._none_early_single,8,-1.0
bonus_success_Gujarat_Giants_vs_Dabang_Delhi_K.C._unknown_early_zero,3,-1.0
