pattern,support,gain
empty_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero||empty_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero,7,6.0
empty_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero||regular_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_single,7,6.0
doordie_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero,6,5.0
regular_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_single||empty_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero,6,5.0
doordie_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero,18,-1.0
empty_unknown_Gujarat_Giants_vs_Bengal_Warriors_none_early_zero,17,-1.0
doordie_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_single,10,-1.0
regular_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_single,10,-1.0
bonus_success_Gujarat_Giants_vs_Bengal_Warriors_null_early_zero,8,-1.0
doordie_success_Gujarat_Giants_vs_Bengal_Warriors_none_early_high,5,-1.0
