pattern,support,gain
empty_unknown_Gujarat_Giants_vs_U.P._Yoddhas_none_early_zero||regular_success_Gujarat_Giants_vs_U.P._Yoddhas_none_early_single,5,4.0
doordie_success_Gujarat_Giants_vs_U.P._Yoddhas_none_early_single||empty_unknown_Gujarat_Giants_vs_U.P._Yoddhas_none_early_zero,4,3.0
doordie_success_Gujarat_Giants_vs_U.P._Yoddhas_none_early_single||doordie_success_Gujarat_Giants_vs_U.P._Yoddhas_none_early_single,4,3.0
regular_success_Gujarat_Giants_vs_U.P._Yoddhas_none_early_single||empty_unknown_Gujarat_Giants_vs_U.P._Yoddhas_none_early_zero,4,3.0
doordie_unknown_Gujarat_Giants_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_Gujarat_Giants_vs_U.P._Yoddhas_none_early_zero,3,2.0
doordie_success_Gujarat_Giants_vs_U.P._Yoddhas_none_early_single,12,-1.0
empty_unknown_Gujarat_Giants_vs_U.P._Yoddhas_none_early_zero,12,-1.0
regular_success_Gujarat_Giants_vs_U.P._Yoddhas_none_early_single,8,-1.0
doordie_unknown_Gujarat_Giants_vs_U.P._Yoddhas_none_early_zero,7,-1.0
bonus_success_Gujarat_Giants_vs_U.P._Yoddhas_unknown_early_zero,6,-1.0
