pattern,support,gain
empty_unknown_Gujarat_Giants_vs_UP_Yoddhas_none_early_zero||bonus_success_Gujarat_Giants_vs_UP_Yoddhas_unknown_early_zero||empty_unknown_Gujarat_Giants_vs_UP_Yoddhas_none_early_zero,5,9.0
empty_unknown_Gujarat_Giants_vs_UP_Yoddhas_none_early_zero||bonus_success_Gujarat_Giants_vs_UP_Yoddhas_unknown_early_zero,9,8.0
bonus_success_Gujarat_Giants_vs_UP_Yoddhas_unknown_early_zero||empty_unknown_Gujarat_Giants_vs_UP_Yoddhas_none_early_zero,9,8.0
bonus_success_Gujarat_Giants_vs_UP_Yoddhas_unknown_early_zero||regular_success_Gujarat_Giants_vs_UP_Yoddhas_none_early_single,5,4.0
empty_unknown_Gujarat_Giants_vs_UP_Yoddhas_none_early_zero||regular_success_Gujarat_Giants_vs_UP_Yoddhas_none_early_single,5,4.0
regular_success_Gujarat_Giants_vs_UP_Yoddhas_none_early_single||regular_success_Gujarat_Giants_vs_UP_Yoddhas_none_early_single,5,4.0
bonus_success_Gujarat_Giants_vs_UP_Yoddhas_unknown_early_zero||bonus_success_Gujarat_Giants_vs_UP_Yoddhas_unknown_early_zero,4,3.0
empty_unknown_Gujarat_Giants_vs_UP_Yoddhas_none_early_zero,20,-1.0
bonus_success_Gujarat_Giants_vs_UP_Yoddhas_unknown_early_zero,19,-1.0
regular_success_Gujarat_Giants_vs_UP_Yoddhas_none_early_single,19,-1.0
