pattern,support,gain
doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero||doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero||doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero||doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero,3,8.0
doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero||doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero||doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero,4,7.0
doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero||doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero,7,6.0
bonus_success_U_Mumba_vs_Bengal_Warriors_right_corner_early_zero||doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero,3,2.0
doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero||bonus_success_U_Mumba_vs_Bengal_Warriors_right_corner_early_zero,3,2.0
doordie_success_U_Mumba_vs_Bengal_Warriors_none_early_single||doordie_success_U_Mumba_vs_Bengal_Warriors_none_early_single,2,1.0
doordie_success_U_Mumba_vs_Bengal_Warriors_none_early_single||doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero,2,1.0
doordie_unknown_U_Mumba_vs_Bengal_Warriors_none_early_zero,12,-1.0
doordie_success_U_Mumba_vs_Bengal_Warriors_none_early_single,6,-1.0
bonus_success_U_Mumba_vs_Bengal_Warriors_right_corner_early_zero,5,-1.0
