pattern,support,gain
doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,2,3.0
doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,3,2.0
doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single||doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,2,1.0
doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,1,0.0
doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,7,-1.0
doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single,4,-1.0
bonus_success_U_Mumba_vs_Bengaluru_Bulls_null_early_zero,2,-1.0
empty_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,1,-1.0
bonus_success_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,1,-1.0
bonus_success_U_Mumba_vs_Bengaluru_Bulls_defender_early_zero,1,-1.0
