pattern,support,gain
doordie_unknown_Gujarat_Giants_vs_Puneri_Paltan_none_early_zero||doordie_unknown_Gujarat_Giants_vs_Puneri_Paltan_none_early_zero,4,3.0
doordie_success_Gujarat_Giants_vs_Puneri_Paltan_none_early_single,8,-1.0
doordie_unknown_Gujarat_Giants_vs_Puneri_Paltan_none_early_zero,7,-1.0
doordie_unknown_Patna_Pirates_vs_Puneri_Paltan_none_early_zero,6,-1.0
bonus_success_Patna_Pirates_vs_Puneri_Paltan_null_early_zero,5,-1.0
bonus_success_Gujarat_Giants_vs_Puneri_Paltan_right_cover_early_zero,4,-1.0
doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero,4,-1.0
bonus_success_Haryana_Steelers_vs_Puneri_Paltan_null_early_zero,3,-1.0
bonus_success_Patna_Pirates_vs_Puneri_Paltan_unknown_early_zero,3,-1.0
empty_unknown_Gujarat_Giants_vs_Puneri_Paltan_none_early_zero,3,-1.0
