pattern,support,gain
doordie_unknown_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_zero,10,9.0
doordie_success_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_zero,10,9.0
doordie_unknown_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_zero,5,9.0
doordie_success_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_zero,5,9.0
doordie_unknown_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_single,9,8.0
doordie_success_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_single||doordie_success_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_single,5,4.0
doordie_unknown_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_zero,26,-1.0
doordie_success_Bengaluru_Bulls_vs_Bengal_Warriors_none_early_single,20,-1.0
bonus_success_Bengaluru_Bulls_vs_Bengal_Warriors_all_rounder_early_zero,4,-1.0
bonus_success_Bengaluru_Bulls_vs_Bengal_Warriors_right_cover_early_zero,4,-1.0
