pattern,support,gain
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero,7,13.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero,13,12.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero,4,11.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_single,8,7.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_single,3,5.0
doordie_success_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero,5,4.0
doordie_success_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_single||doordie_success_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_single,3,2.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_zero,25,-1.0
doordie_success_Bengaluru_Bulls_vs_Gujarat_Giants_none_early_single,11,-1.0
bonus_success_Bengaluru_Bulls_vs_Gujarat_Giants_right_cover_early_zero,3,-1.0
