pattern,support,gain
doordie_unknown_Bengaluru_Bulls_vs_Telugu_Titans_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Telugu_Titans_none_early_zero,14,13.0
doordie_unknown_Bengaluru_Bulls_vs_Telugu_Titans_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Telugu_Titans_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Telugu_Titans_none_early_zero,7,13.0
doordie_unknown_Bengaluru_Bulls_vs_Telugu_Titans_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Telugu_Titans_none_early_single,11,10.0
doordie_success_Bengaluru_Bulls_vs_Telugu_Titans_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Telugu_Titans_none_early_zero,8,7.0
doordie_unknown_Bengaluru_Bulls_vs_Telugu_Titans_none_early_zero||bonus_success_Bengaluru_Bulls_vs_Telugu_Titans_null_early_zero,6,5.0
bonus_success_Bengaluru_Bulls_vs_Telugu_Titans_null_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Telugu_Titans_none_early_zero,6,5.0
doordie_unknown_Bengaluru_Bulls_vs_Telugu_Titans_none_early_zero,41,-1.0
doordie_success_Bengaluru_Bulls_vs_Telugu_Titans_none_early_single,20,-1.0
bonus_success_Bengaluru_Bulls_vs_Telugu_Titans_null_early_zero,11,-1.0
bonus_success_Bengaluru_Bulls_vs_Telugu_Titans_unknown_early_zero,5,-1.0
