pattern,support,gain
doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero||doordie_success_U.P._Yoddha_vs_U_Mumba_none_early_single||doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero,3,5.0
doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero||doordie_success_U.P._Yoddha_vs_U_Mumba_none_early_single||doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero||doordie_success_U.P._Yoddha_vs_U_Mumba_none_early_single,2,5.0
doordie_success_U.P._Yoddha_vs_U_Mumba_none_early_single||doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero||doordie_success_U.P._Yoddha_vs_U_Mumba_none_early_single||doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero,2,5.0
doordie_success_U.P._Yoddha_vs_U_Mumba_none_early_single||doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero||doordie_success_U.P._Yoddha_vs_U_Mumba_none_early_single,2,3.0
doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero||doordie_success_U.P._Yoddha_vs_U_Mumba_none_early_single,3,2.0
doordie_success_U.P._Yoddha_vs_U_Mumba_none_early_single||doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero,3,2.0
doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero||doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero,2,1.0
doordie_unknown_U.P._Yoddha_vs_U_Mumba_none_early_zero,6,-1.0
doordie_success_U.P._Yoddha_vs_U_Mumba_none_early_single,3,-1.0
bonus_success_U.P._Yoddha_vs_U_Mumba_left_corner_early_zero,1,-1.0
