pattern,support,gain
doordie_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero||doordie_success_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_single,2,1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero,2,1.0
empty_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero||regular_success_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_single,1,0.0
regular_success_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_single||doordie_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero,1,0.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero,5,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_single,2,-1.0
empty_unknown_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_zero,1,-1.0
regular_success_Jaipur_Pink_Panthers_vs_Bengal_Warriors_none_early_single,1,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Bengal_Warriors_all_rounder_early_zero,1,-1.0
bonus_success_Bengaluru_Bulls_vs_Bengal_Warriors_null_early_zero,1,-1.0
