pattern,support,gain
doordie_unknown_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_zero,14,13.0
doordie_success_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_single||doordie_unknown_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_zero,8,7.0
doordie_success_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_single||doordie_success_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_single,8,7.0
doordie_unknown_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_success_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_single,7,6.0
regular_success_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_single||regular_success_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_single,6,5.0
doordie_unknown_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_zero,32,-1.0
doordie_success_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_single,24,-1.0
bonus_success_Patna_Pirates_vs_Jaipur_Pink_Panthers_null_early_zero,12,-1.0
empty_unknown_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_zero,12,-1.0
regular_success_Patna_Pirates_vs_Jaipur_Pink_Panthers_none_early_single,12,-1.0
