pattern,support,gain
doordie_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero||doordie_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero,11,10.0
doordie_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero||doordie_success_Patna_Pirates_vs_U_Mumba_none_early_single,10,9.0
bonus_success_Patna_Pirates_vs_U_Mumba_null_early_zero||doordie_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero,8,7.0
empty_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero||regular_success_Patna_Pirates_vs_U_Mumba_none_early_single,8,7.0
regular_success_Patna_Pirates_vs_U_Mumba_none_early_single||empty_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero,7,6.0
doordie_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero,37,-1.0
doordie_success_Patna_Pirates_vs_U_Mumba_none_early_single,22,-1.0
regular_success_Patna_Pirates_vs_U_Mumba_none_early_single,19,-1.0
bonus_success_Patna_Pirates_vs_U_Mumba_null_early_zero,15,-1.0
empty_unknown_Patna_Pirates_vs_U_Mumba_none_early_zero,15,-1.0
