pattern,support,gain
empty_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero||bonus_success_Patna_Pirates_vs_Haryana_Steelers_unknown_early_zero,3,2.0
bonus_success_Patna_Pirates_vs_Haryana_Steelers_unknown_early_zero||doordie_success_Patna_Pirates_vs_Haryana_Steelers_none_early_single,2,1.0
empty_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero||regular_success_Patna_Pirates_vs_Haryana_Steelers_none_early_single,2,1.0
regular_success_Patna_Pirates_vs_Haryana_Steelers_none_early_single||empty_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero,2,1.0
bonus_success_Patna_Pirates_vs_Haryana_Steelers_unknown_early_zero,7,-1.0
empty_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero,6,-1.0
regular_success_Patna_Pirates_vs_Haryana_Steelers_none_early_single,4,-1.0
doordie_success_Patna_Pirates_vs_Haryana_Steelers_none_early_single,2,-1.0
bonus_success_Patna_Pirates_vs_Haryana_Steelers_null_early_zero,1,-1.0
regular_success_Patna_Pirates_vs_Haryana_Steelers_none_late_single,1,-1.0
