pattern,support,gain
empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero,4,11.0
empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero,5,9.0
empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero,6,5.0
regular_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero,2,1.0
regular_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||regular_unknown_nan_vs_Bengaluru_Bulls_none_early_zero,1,1.0
empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||regular_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero,1,1.0
regular_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero,1,1.0
empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||regular_unknown_nan_vs_Bengaluru_Bulls_none_early_zero,1,0.0
empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero,8,-1.0
regular_unknown_nan_vs_Bengaluru_Bulls_none_early_zero,2,-1.0
