pattern,support,gain
doordie_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero,2,3.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero,3,2.0
doordie_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single||doordie_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero,2,1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero||doordie_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_high,2,1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero,6,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single,4,-1.0
bonus_success_Patna_Pirates_vs_Dabang_Delhi_K.C._unknown_early_zero,2,-1.0
doordie_success_Patna_Pirates_vs_Dabang_Delhi_K.C._none_early_single,2,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._unknown_early_zero,2,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_high,2,-1.0
