pattern,support,gain
doordie_unknown_Jaipur_Pink_Panthers_vs_Haryana_Steelers_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Haryana_Steelers_none_early_zero,8,7.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Haryana_Steelers_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Haryana_Steelers_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Haryana_Steelers_none_early_zero,4,7.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Haryana_Steelers_none_early_zero||doordie_success_Jaipur_Pink_Panthers_vs_Haryana_Steelers_none_early_single,4,3.0
doordie_success_Jaipur_Pink_Panthers_vs_Haryana_Steelers_none_early_single||doordie_unknown_Jaipur_Pink_Panthers_vs_Haryana_Steelers_none_early_zero,3,2.0
bonus_success_Jaipur_Pink_Panthers_vs_Haryana_Steelers_all_rounder_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Haryana_Steelers_none_early_zero,3,2.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Haryana_Steelers_none_early_zero||bonus_success_Jaipur_Pink_Panthers_vs_Haryana_Steelers_all_rounder_early_zero,2,1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Haryana_Steelers_none_early_zero,16,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_Haryana_Steelers_none_early_single,7,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Haryana_Steelers_all_rounder_early_zero,3,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_Haryana_Steelers_none_early_high,2,-1.0
