pattern,support,gain
empty_unknown_Patna_Pirates_vs_UP_Yoddhas_none_early_zero||empty_unknown_Patna_Pirates_vs_UP_Yoddhas_none_early_zero,13,12.0
regular_success_Patna_Pirates_vs_UP_Yoddhas_none_early_single||bonus_success_Patna_Pirates_vs_UP_Yoddhas_unknown_early_zero,9,8.0
empty_unknown_Patna_Pirates_vs_UP_Yoddhas_none_early_zero||regular_success_Patna_Pirates_vs_UP_Yoddhas_none_early_single,8,7.0
bonus_success_Patna_Pirates_vs_UP_Yoddhas_unknown_early_zero||empty_unknown_Patna_Pirates_vs_UP_Yoddhas_none_early_zero,7,6.0
bonus_success_Patna_Pirates_vs_UP_Yoddhas_unknown_early_zero||regular_success_Patna_Pirates_vs_UP_Yoddhas_none_early_single,7,6.0
regular_success_Patna_Pirates_vs_UP_Yoddhas_none_early_single||regular_success_Patna_Pirates_vs_UP_Yoddhas_none_early_single,5,4.0
empty_unknown_Patna_Pirates_vs_UP_Yoddhas_none_early_zero||bonus_success_Patna_Pirates_vs_UP_Yoddhas_unknown_early_zero,5,4.0
empty_unknown_Patna_Pirates_vs_UP_Yoddhas_none_early_zero,28,-1.0
regular_success_Patna_Pirates_vs_UP_Yoddhas_none_early_single,20,-1.0
bonus_success_Patna_Pirates_vs_UP_Yoddhas_unknown_early_zero,17,-1.0
