pattern,support,gain
regular_success_nan_vs_Patna_Pirates_none_early_single||regular_success_nan_vs_Patna_Pirates_none_early_single,7,6.0
regular_success_nan_vs_Patna_Pirates_none_early_single||bonus_success_nan_vs_Patna_Pirates_unknown_early_zero,6,5.0
empty_unknown_nan_vs_Patna_Pirates_none_early_zero||empty_unknown_nan_vs_Patna_Pirates_none_early_zero,5,4.0
bonus_success_nan_vs_Patna_Pirates_unknown_early_zero||empty_unknown_nan_vs_Patna_Pirates_none_early_zero,4,3.0
empty_unknown_nan_vs_Patna_Pirates_none_early_zero||regular_success_nan_vs_Patna_Pirates_none_early_single,4,3.0
bonus_success_nan_vs_Patna_Pirates_unknown_early_zero||regular_success_nan_vs_Patna_Pirates_none_early_single,4,3.0
regular_success_nan_vs_Patna_Pirates_none_early_single,18,-1.0
empty_unknown_nan_vs_Patna_Pirates_none_early_zero,15,-1.0
bonus_success_nan_vs_Patna_Pirates_unknown_early_zero,11,-1.0
regular_success_nan_vs_Patna_Pirates_none_early_high,4,-1.0
