pattern,support,gain
doordie_success_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_single||doordie_unknown_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_zero,21,20.0
doordie_unknown_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_zero||doordie_success_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_single||doordie_unknown_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_zero,10,19.0
doordie_success_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_single||doordie_unknown_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_zero||doordie_success_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_single,9,17.0
doordie_unknown_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_zero||doordie_success_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_single,17,16.0
doordie_unknown_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_zero,15,14.0
doordie_success_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_single||doordie_success_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_single,12,11.0
doordie_success_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_single,47,-1.0
doordie_unknown_U.P._Yoddha_vs_Bengaluru_Bulls_none_early_zero,47,-1.0
bonus_success_U.P._Yoddha_vs_Bengaluru_Bulls_null_early_zero,13,-1.0
doordie_success_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_single,8,-1.0
