pattern,support,gain
doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero||doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero,12,11.0
doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero||doordie_success_U.P._Yoddha_vs_Patna_Pirates_none_early_single,12,11.0
doordie_success_U.P._Yoddha_vs_Patna_Pirates_none_early_single||doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero,10,9.0
doordie_success_U.P._Yoddha_vs_Patna_Pirates_none_early_single||doordie_success_U.P._Yoddha_vs_Patna_Pirates_none_early_single,9,8.0
doordie_unknown_U.P._Yoddha_vs_Patna_Pirates_none_early_zero,37,-1.0
doordie_success_U.P._Yoddha_vs_Patna_Pirates_none_early_single,34,-1.0
bonus_success_U.P._Yoddha_vs_Patna_Pirates_null_early_zero,9,-1.0
doordie_success_U.P._Yoddha_vs_Patna_Pirates_none_early_high,7,-1.0
regular_success_U.P._Yoddha_vs_Patna_Pirates_none_early_single,6,-1.0
doordie_unknown_Bengal_Warriors_vs_Patna_Pirates_none_early_zero,6,-1.0
