pattern,support,gain
empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,12,23.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,8,23.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,18,17.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||regular_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,3,5.0
regular_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,3,5.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||regular_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,3,2.0
regular_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,3,2.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,25,-1.0
regular_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,3,-1.0
regular_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,3,-1.0
