pattern,support,gain
doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero||doordie_success_Patna_Pirates_vs_Telugu_Titans_none_early_single,1,0.0
doordie_success_Patna_Pirates_vs_Telugu_Titans_none_early_single||regular_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,1,0.0
regular_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero||empty_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,1,0.0
regular_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,3,-1.0
doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,2,-1.0
empty_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,2,-1.0
doordie_success_Patna_Pirates_vs_Telugu_Titans_none_early_single,1,-1.0
regular_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,1,-1.0
bonus_success_Puneri_Paltan_vs_Telugu_Titans_null_early_zero,1,-1.0
regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,1,-1.0
