pattern,support,gain
doordie_success_Telugu_Titans_vs_Patna_Pirates_none_early_single||doordie_success_Telugu_Titans_vs_Patna_Pirates_none_early_single,7,6.0
doordie_success_Telugu_Titans_vs_Patna_Pirates_none_early_single||doordie_success_Telugu_Titans_vs_Patna_Pirates_none_early_single||doordie_success_Telugu_Titans_vs_Patna_Pirates_none_early_single,3,5.0
doordie_unknown_Telugu_Titans_vs_Patna_Pirates_none_early_zero||doordie_success_Telugu_Titans_vs_Patna_Pirates_none_early_single,4,3.0
doordie_success_Telugu_Titans_vs_Patna_Pirates_none_early_single||doordie_unknown_Telugu_Titans_vs_Patna_Pirates_none_early_zero,4,3.0
doordie_success_U_Mumba_vs_Patna_Pirates_none_early_single||doordie_success_U_Mumba_vs_Patna_Pirates_none_early_single,4,3.0
doordie_success_Telugu_Titans_vs_Patna_Pirates_none_early_single,16,-1.0
doordie_success_U_Mumba_vs_Patna_Pirates_none_early_single,10,-1.0
doordie_unknown_Telugu_Titans_vs_Patna_Pirates_none_early_zero,8,-1.0
bonus_success_Telugu_Titans_vs_Patna_Pirates_nan_early_zero,4,-1.0
bonus_success_U_Mumba_vs_Patna_Pirates_left_corner_early_zero,3,-1.0
