pattern,support,gain
bonus_success_Telugu_Titans_vs_Tamil_Thalaivas_null_early_zero||bonus_success_Telugu_Titans_vs_Tamil_Thalaivas_null_early_zero||bonus_success_Telugu_Titans_vs_Tamil_Thalaivas_null_early_zero,4,7.0
bonus_success_Telugu_Titans_vs_Tamil_Thalaivas_null_early_zero||bonus_success_Telugu_Titans_vs_Tamil_Thalaivas_null_early_zero,7,6.0
bonus_success_Telugu_Titans_vs_Tamil_Thalaivas_null_early_zero||doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_single,4,3.0
doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_single||doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_single,4,3.0
bonus_success_Telugu_Titans_vs_Tamil_Thalaivas_null_early_zero,13,-1.0
doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_single,10,-1.0
doordie_unknown_Telugu_Titans_vs_Tamil_Thalaivas_none_early_zero,6,-1.0
doordie_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_high,3,-1.0
allout_success_Telugu_Titans_vs_Tamil_Thalaivas_none_early_single,3,-1.0
doordie_success_U_Mumba_vs_Tamil_Thalaivas_none_early_single,3,-1.0
