pattern,support,gain
empty_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero||empty_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero,2,1.0
bonus_success_Gujarat_Giants_vs_Telugu_Titans_null_early_zero||empty_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero,1,0.0
empty_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero||bonus_success_Gujarat_Giants_vs_Telugu_Titans_null_early_zero,1,0.0
bonus_success_Gujarat_Giants_vs_Telugu_Titans_null_early_zero||allout_success_Gujarat_Giants_vs_Telugu_Titans_none_early_high,1,0.0
allout_success_Gujarat_Giants_vs_Telugu_Titans_none_early_high||regular_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single,1,0.0
empty_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero,5,-1.0
bonus_success_Gujarat_Giants_vs_Telugu_Titans_null_early_zero,2,-1.0
regular_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single,2,-1.0
allout_success_Gujarat_Giants_vs_Telugu_Titans_none_early_high,1,-1.0
bonus_success_Gujarat_Giants_vs_Telugu_Titans_unknown_early_zero,1,-1.0
