pattern,support,gain
bonus_success_Gujarat_Giants_vs_U.P._Yoddhas_unknown_early_zero||empty_unknown_Gujarat_Giants_vs_U.P._Yoddhas_none_early_zero,2,1.0
empty_unknown_Gujarat_Giants_vs_U.P._Yoddhas_none_early_zero||empty_unknown_Gujarat_Giants_vs_U.P._Yoddhas_none_early_zero,2,1.0
empty_unknown_Gujarat_Giants_vs_U.P._Yoddhas_none_early_zero||bonus_success_Gujarat_Giants_vs_U.P._Yoddhas_unknown_early_zero,1,0.0
bonus_success_Gujarat_Giants_vs_U.P._Yoddhas_unknown_early_zero||regular_success_Gujarat_Giants_vs_U.P._Yoddhas_none_early_single,1,0.0
regular_success_Gujarat_Giants_vs_U.P._Yoddhas_none_early_single||regular_success_Gujarat_Giants_vs_U.P._Yoddhas_none_early_single,1,0.0
regular_success_Gujarat_Giants_vs_U.P._Yoddhas_none_early_single||bonus_success_Gujarat_Giants_vs_U.P._Yoddhas_unknown_early_zero,1,0.0
empty_unknown_Gujarat_Giants_vs_U.P._Yoddhas_none_early_zero,5,-1.0
bonus_success_Gujarat_Giants_vs_U.P._Yoddhas_unknown_early_zero,3,-1.0
regular_success_Gujarat_Giants_vs_U.P._Yoddhas_none_early_single,2,-1.0
doordie_success_Gujarat_Giants_vs_U.P._Yoddhas_none_early_single,1,-1.0
