pattern,support,gain
doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single||doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single,3,2.0
doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_high||doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single,2,1.0
doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single||doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_high,2,1.0
doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single,10,-1.0
empty_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero,6,-1.0
doordie_success_Gujarat_Giants_vs_Telugu_Titans_none_early_high,5,-1.0
doordie_unknown_Gujarat_Giants_vs_Telugu_Titans_none_early_zero,5,-1.0
regular_success_Gujarat_Giants_vs_Telugu_Titans_none_early_single,4,-1.0
bonus_success_Gujarat_Giants_vs_Telugu_Titans_raider_early_zero,2,-1.0
bonus_success_Gujarat_Giants_vs_Telugu_Titans_unknown_early_zero,2,-1.0
