pattern,support,gain
doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero,5,9.0
doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero,9,8.0
doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero||bonus_success_Bengal_Warriors_vs_Bengaluru_Bulls_null_early_zero,3,5.0
doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero||bonus_success_Bengal_Warriors_vs_Bengaluru_Bulls_null_early_zero,5,4.0
bonus_success_Bengal_Warriors_vs_Bengaluru_Bulls_null_early_zero||doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero,4,3.0
doordie_success_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_single||doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero,3,2.0
doordie_unknown_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_zero,18,-1.0
bonus_success_Bengal_Warriors_vs_Bengaluru_Bulls_null_early_zero,6,-1.0
doordie_success_Bengal_Warriors_vs_Bengaluru_Bulls_none_early_single,6,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Bengaluru_Bulls_none_early_zero,4,-1.0
