pattern,support,gain
doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,4,3.0
doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,2,3.0
doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_single,2,3.0
doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_single,3,2.0
doordie_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,3,2.0
doordie_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_single||doordie_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_single,2,1.0
doordie_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,8,-1.0
doordie_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_single,5,-1.0
doordie_unknown_Bengal_Warriors_vs_Jaipur_Pink_Panthers_none_early_zero,3,-1.0
doordie_success_Bengal_Warriors_vs_Jaipur_Pink_Panthers_none_early_single,2,-1.0
