pattern,support,gain
empty_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero,6,11.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_none_early_zero,4,11.0
empty_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero,4,11.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_none_early_zero,5,9.0
empty_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero,8,7.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_none_early_zero,6,5.0
doordie_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero,2,1.0
empty_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero,11,-1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Bengaluru_Bulls_none_early_zero,7,-1.0
doordie_unknown_Gujarat_Giants_vs_Bengaluru_Bulls_none_early_zero,5,-1.0
