pattern,support,gain
doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single||doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single,6,5.0
doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single||doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single||doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single,3,5.0
doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single||doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single||doordie_unknown_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_zero,2,3.0
doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single||doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_high,2,1.0
doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single||doordie_unknown_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_zero,2,1.0
doordie_unknown_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_zero||doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single,2,1.0
doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single,10,-1.0
doordie_unknown_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_zero,3,-1.0
doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_high,2,-1.0
bonus_success_Telugu_Titans_vs_Dabang_Delhi_K.C._unknown_early_zero,2,-1.0
