pattern,support,gain
empty_unknown_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_zero||empty_unknown_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_zero,2,1.0
regular_unknown_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_zero||regular_unknown_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_zero,2,1.0
regular_unknown_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_zero||doordie_unknown_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_zero,2,1.0
regular_unknown_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_zero,4,-1.0
empty_unknown_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_zero,3,-1.0
doordie_unknown_Bengal_Warriors_vs_Dabang_Delhi_K.C._none_early_zero,3,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._none_early_zero,2,-1.0
regular_unknown_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_zero,1,-1.0
doordie_unknown_Puneri_Paltan_vs_Dabang_Delhi_K.C._none_early_zero,1,-1.0
doordie_success_Telugu_Titans_vs_Dabang_Delhi_K.C._none_early_single,1,-1.0
