pattern,support,gain
regular_success_nan_vs_Telugu_Titans_none_early_high||regular_success_nan_vs_Telugu_Titans_none_early_single,1,0.0
regular_success_nan_vs_Telugu_Titans_none_early_single||bonus_success_nan_vs_Telugu_Titans_unknown_early_zero,1,0.0
bonus_success_nan_vs_Telugu_Titans_unknown_early_zero||regular_success_nan_vs_Telugu_Titans_none_early_single,1,0.0
regular_success_nan_vs_Telugu_Titans_none_early_single||empty_unknown_nan_vs_Telugu_Titans_none_early_zero,1,0.0
regular_success_nan_vs_Telugu_Titans_none_early_single,3,-1.0
empty_unknown_nan_vs_Telugu_Titans_none_early_zero,3,-1.0
regular_success_nan_vs_Telugu_Titans_none_early_high,1,-1.0
bonus_success_nan_vs_Telugu_Titans_unknown_early_zero,1,-1.0
bonus_success_nan_vs_Telugu_Titans_null_early_zero,1,-1.0
doordie_success_nan_vs_Telugu_Titans_none_early_single,1,-1.0
