pattern,support,gain
doordie_unknown_Patna_Pirates_vs_Telugu_Titans_none_early_zero||doordie_unknown_Patna_Pirates_vs_Telugu_Titans_none_early_zero,4,3.0
bonus_success_Patna_Pirates_vs_Telugu_Titans_null_early_zero||bonus_success_Patna_Pirates_vs_Telugu_Titans_left_cover_early_zero,1,0.0
doordie_unknown_Patna_Pirates_vs_Telugu_Titans_none_early_zero,7,-1.0
bonus_success_Patna_Pirates_vs_Telugu_Titans_null_early_zero,2,-1.0
bonus_success_Patna_Pirates_vs_Telugu_Titans_left_cover_early_zero,1,-1.0
empty_unknown_Patna_Pirates_vs_Telugu_Titans_none_early_zero,1,-1.0
bonus_success_Patna_Pirates_vs_Telugu_Titans_unknown_early_zero,1,-1.0
bonus_success_Patna_Pirates_vs_Telugu_Titans_raider_early_zero,1,-1.0
doordie_success_Patna_Pirates_vs_Telugu_Titans_none_early_single,1,-1.0
doordie_success_Patna_Pirates_vs_Telugu_Titans_none_early_high,1,-1.0
