pattern,support,gain
empty_unknown_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_zero||empty_unknown_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_zero,7,6.0
empty_unknown_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_zero||empty_unknown_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_zero||regular_success_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_single,3,5.0
empty_unknown_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_zero||regular_success_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_single,5,4.0
bonus_success_Dabang_Delhi_vs_Tamil_Thalaivas_unknown_early_zero||empty_unknown_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_zero,2,1.0
regular_success_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_single||empty_unknown_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_zero,2,1.0
empty_unknown_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_zero,15,-1.0
regular_success_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_single,8,-1.0
bonus_success_Dabang_Delhi_vs_Tamil_Thalaivas_unknown_early_zero,2,-1.0
allout_success_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_single,2,-1.0
bonus_success_Dabang_Delhi_vs_Tamil_Thalaivas_null_early_zero,2,-1.0
