pattern,support,gain
empty_unknown_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_zero,20,19.0
bonus_success_Haryana_Steelers_vs_Bengaluru_Bulls_unknown_early_zero||empty_unknown_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_zero,14,13.0
empty_unknown_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_zero||bonus_success_Haryana_Steelers_vs_Bengaluru_Bulls_unknown_early_zero,12,11.0
empty_unknown_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_zero||regular_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single,10,9.0
empty_unknown_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_zero,48,-1.0
doordie_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single,26,-1.0
bonus_success_Haryana_Steelers_vs_Bengaluru_Bulls_unknown_early_zero,26,-1.0
doordie_unknown_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_zero,19,-1.0
regular_success_Haryana_Steelers_vs_Bengaluru_Bulls_none_early_single,19,-1.0
bonus_success_Haryana_Steelers_vs_Bengaluru_Bulls_raider_early_zero,9,-1.0
