pattern,support,gain
doordie_unknown_Haryana_Steelers_vs_Gujarat_Giants_none_early_zero||doordie_unknown_Haryana_Steelers_vs_Gujarat_Giants_none_early_zero,7,6.0
doordie_success_Haryana_Steelers_vs_Gujarat_Giants_none_early_single||doordie_unknown_Haryana_Steelers_vs_Gujarat_Giants_none_early_zero,4,3.0
doordie_unknown_Haryana_Steelers_vs_Gujarat_Giants_none_early_zero||bonus_success_Haryana_Steelers_vs_Gujarat_Giants_raider_early_zero,2,1.0
bonus_success_Haryana_Steelers_vs_Gujarat_Giants_raider_early_zero||doordie_unknown_Haryana_Steelers_vs_Gujarat_Giants_none_early_zero,2,1.0
doordie_unknown_Haryana_Steelers_vs_Gujarat_Giants_none_early_zero,18,-1.0
doordie_success_Haryana_Steelers_vs_Gujarat_Giants_none_early_single,7,-1.0
bonus_success_Haryana_Steelers_vs_Gujarat_Giants_raider_early_zero,3,-1.0
bonus_success_Haryana_Steelers_vs_Gujarat_Giants_all_rounder_early_zero,3,-1.0
bonus_success_Haryana_Steelers_vs_Gujarat_Giants_right_cover_early_zero,3,-1.0
bonus_success_Haryana_Steelers_vs_Gujarat_Giants_left_cover_early_zero,2,-1.0
