pattern,support,gain
doordie_success_Haryana_Steelers_vs_Tamil_Thalaivas_none_early_single||doordie_success_Haryana_Steelers_vs_Tamil_Thalaivas_none_early_single||doordie_success_Haryana_Steelers_vs_Tamil_Thalaivas_none_early_single,4,7.0
doordie_success_Haryana_Steelers_vs_Tamil_Thalaivas_none_early_single||doordie_success_Haryana_Steelers_vs_Tamil_Thalaivas_none_early_single,7,6.0
doordie_success_Haryana_Steelers_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_Haryana_Steelers_vs_Tamil_Thalaivas_none_early_zero,5,4.0
bonus_success_Haryana_Steelers_vs_Tamil_Thalaivas_all_rounder_early_zero||doordie_success_Haryana_Steelers_vs_Tamil_Thalaivas_none_early_single||doordie_success_Haryana_Steelers_vs_Tamil_Thalaivas_none_early_single,2,3.0
doordie_unknown_Haryana_Steelers_vs_Tamil_Thalaivas_none_early_zero||doordie_success_Haryana_Steelers_vs_Tamil_Thalaivas_none_early_single,3,2.0
bonus_success_Haryana_Steelers_vs_Tamil_Thalaivas_all_rounder_early_zero||doordie_success_Haryana_Steelers_vs_Tamil_Thalaivas_none_early_single,2,1.0
doordie_success_Haryana_Steelers_vs_Tamil_Thalaivas_none_early_single,17,-1.0
doordie_unknown_Haryana_Steelers_vs_Tamil_Thalaivas_none_early_zero,6,-1.0
bonus_success_Haryana_Steelers_vs_Tamil_Thalaivas_all_rounder_early_zero,4,-1.0
bonus_success_Haryana_Steelers_vs_Tamil_Thalaivas_none_early_zero,2,-1.0
