pattern,support,gain
regular_success_Haryana_Steelers_vs_U.P._Yoddhas_none_early_single||empty_unknown_Haryana_Steelers_vs_U.P._Yoddhas_none_early_zero||empty_unknown_Haryana_Steelers_vs_U.P._Yoddhas_none_early_zero,4,7.0
regular_success_Haryana_Steelers_vs_U.P._Yoddhas_none_early_single||empty_unknown_Haryana_Steelers_vs_U.P._Yoddhas_none_early_zero,6,5.0
empty_unknown_Haryana_Steelers_vs_U.P._Yoddhas_none_early_zero||regular_success_Haryana_Steelers_vs_U.P._Yoddhas_none_early_single||empty_unknown_Haryana_Steelers_vs_U.P._Yoddhas_none_early_zero,3,5.0
empty_unknown_Haryana_Steelers_vs_U.P._Yoddhas_none_early_zero||regular_success_Haryana_Steelers_vs_U.P._Yoddhas_none_early_single,5,4.0
empty_unknown_Haryana_Steelers_vs_U.P._Yoddhas_none_early_zero||empty_unknown_Haryana_Steelers_vs_U.P._Yoddhas_none_early_zero,4,3.0
bonus_success_Haryana_Steelers_vs_U.P._Yoddhas_unknown_early_zero||regular_success_Haryana_Steelers_vs_U.P._Yoddhas_none_early_single,3,2.0
empty_unknown_Haryana_Steelers_vs_U.P._Yoddhas_none_early_zero||bonus_success_Haryana_Steelers_vs_U.P._Yoddhas_unknown_early_zero,3,2.0
empty_unknown_Haryana_Steelers_vs_U.P._Yoddhas_none_early_zero,13,-1.0
regular_success_Haryana_Steelers_vs_U.P._Yoddhas_none_early_single,9,-1.0
bonus_success_Haryana_Steelers_vs_U.P._Yoddhas_unknown_early_zero,8,-1.0
