pattern,support,gain
doordie_unknown_Bengal_Warriors_vs_U_Mumba_none_early_zero||doordie_unknown_Bengal_Warriors_vs_U_Mumba_none_early_zero||doordie_unknown_Bengal_Warriors_vs_U_Mumba_none_early_zero||doordie_unknown_Bengal_Warriors_vs_U_Mumba_none_early_zero,4,11.0
doordie_unknown_Bengal_Warriors_vs_U_Mumba_none_early_zero||doordie_unknown_Bengal_Warriors_vs_U_Mumba_none_early_zero||doordie_unknown_Bengal_Warriors_vs_U_Mumba_none_early_zero,5,9.0
doordie_unknown_Bengal_Warriors_vs_U_Mumba_none_early_zero||doordie_unknown_Bengal_Warriors_vs_U_Mumba_none_early_zero,6,5.0
doordie_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero||doordie_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero,2,1.0
bonus_success_Bengal_Warriors_vs_U_Mumba_null_early_zero||doordie_unknown_Bengal_Warriors_vs_U_Mumba_none_early_zero,1,0.0
doordie_unknown_Bengal_Warriors_vs_U_Mumba_none_early_zero,7,-1.0
doordie_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero,3,-1.0
bonus_success_Puneri_Paltan_vs_U_Mumba_unknown_early_zero,2,-1.0
bonus_success_Bengal_Warriors_vs_U_Mumba_null_early_zero,1,-1.0
empty_unknown_Puneri_Paltan_vs_U_Mumba_none_early_zero,1,-1.0
