pattern,support,gain
regular_success_nan_vs_Haryana_Steelers_none_early_single||regular_success_nan_vs_Haryana_Steelers_none_early_single,11,10.0
regular_success_nan_vs_Haryana_Steelers_none_early_single||regular_success_nan_vs_Haryana_Steelers_none_early_single||regular_success_nan_vs_Haryana_Steelers_none_early_single,4,7.0
regular_success_nan_vs_Haryana_Steelers_none_early_single||bonus_success_nan_vs_Haryana_Steelers_unknown_early_zero,4,3.0
empty_unknown_nan_vs_Haryana_Steelers_none_early_zero||empty_unknown_nan_vs_Haryana_Steelers_none_early_zero,4,3.0
empty_unknown_nan_vs_Haryana_Steelers_none_early_zero||regular_success_nan_vs_Haryana_Steelers_none_early_single,4,3.0
regular_success_nan_vs_Haryana_Steelers_none_early_single,21,-1.0
empty_unknown_nan_vs_Haryana_Steelers_none_early_zero,14,-1.0
bonus_success_nan_vs_Haryana_Steelers_unknown_early_zero,12,-1.0
regular_success_nan_vs_Haryana_Steelers_none_early_high,4,-1.0
doordie_success_nan_vs_Haryana_Steelers_none_early_single,3,-1.0
